Interview Format,Rounds,Duration (mins),Difficulty Level,Money Requested,Paid Course,Genuineness (%)
In-Person,5,78,High,No,Yes,69
Video Call,1,54,Medium,Yes,No,72
Video Call,3,64,High,Yes,No,73
Phone Call,1,64,Low,Yes,Yes,48
Phone Call,2,90,High,No,No,100
Video Call,1,63,Low,Yes,Yes,48
In-Person,3,72,High,No,Yes,79
Video Call,2,69,Low,Yes,No,58
In-Person,1,65,Medium,No,No,93
Phone Call,3,86,Medium,Yes,Yes,50
In-Person,4,16,Low,Yes,Yes,28
In-Person,1,77,High,Yes,Yes,69
Online Assessment,2,22,Medium,Yes,Yes,49
Online Assessment,4,74,High,No,Yes,74
Phone Call,1,14,High,No,No,98
Video Call,3,14,Low,No,Yes,53
Online Assessment,5,26,High,Yes,No,59
In-Person,5,50,Medium,Yes,No,51
In-Person,3,88,Medium,Yes,Yes,50
In-Person,4,30,Medium,No,No,74
Online Assessment,4,24,Medium,Yes,No,54
In-Person,4,72,Medium,Yes,Yes,44
Online Assessment,3,39,Low,No,No,70
In-Person,1,89,Medium,Yes,Yes,60
Online Assessment,4,75,Medium,Yes,Yes,44
Phone Call,5,73,High,Yes,No,64
Phone Call,2,90,Medium,Yes,No,70
Video Call,2,44,Medium,Yes,Yes,51
Online Assessment,2,58,Low,Yes,No,57
In-Person,3,49,High,Yes,Yes,56
Video Call,1,68,High,Yes,No,83
Phone Call,3,86,Medium,Yes,No,65
Phone Call,2,62,High,Yes,Yes,63
Online Assessment,1,58,Low,No,Yes,67
In-Person,5,18,High,No,Yes,63
In-Person,5,44,Medium,Yes,No,51
In-Person,5,47,Medium,Yes,No,51
Video Call,2,20,Medium,No,No,83
Phone Call,4,12,Low,No,No,63
In-Person,2,52,Low,Yes,Yes,42
Online Assessment,3,84,Low,Yes,Yes,40
Video Call,2,85,Medium,No,No,90
In-Person,3,33,Low,No,No,70
Phone Call,3,40,Low,Yes,No,50
Online Assessment,1,47,Low,Yes,Yes,46
In-Person,1,65,High,No,Yes,88
Phone Call,3,37,High,No,Yes,75
Online Assessment,4,83,High,Yes,Yes,55
Video Call,1,59,Low,Yes,Yes,47
Online Assessment,2,73,Medium,No,No,89
Video Call,4,54,Medium,Yes,No,57
Video Call,1,87,Medium,Yes,No,75
In-Person,5,85,High,No,Yes,70
Video Call,3,62,Medium,No,Yes,68
Phone Call,4,17,Medium,No,No,73
Online Assessment,3,23,Medium,No,Yes,64
In-Person,3,74,Low,Yes,No,54
Phone Call,3,40,Low,Yes,Yes,35
Video Call,2,45,Medium,No,No,86
Online Assessment,5,55,High,No,Yes,67
In-Person,4,55,Medium,No,No,77
In-Person,5,66,Medium,Yes,No,53
In-Person,4,45,Medium,No,Yes,61
In-Person,5,64,Low,No,No,63
Phone Call,4,57,Low,Yes,No,47
Video Call,4,68,High,No,No,88
In-Person,4,90,Medium,No,No,80
In-Person,5,53,Medium,No,No,72
Video Call,5,55,High,Yes,No,62
Phone Call,3,54,Medium,No,Yes,67
In-Person,5,12,High,No,No,78
Online Assessment,3,32,Low,Yes,No,50
Video Call,3,67,Medium,No,Yes,68
Online Assessment,2,83,Low,Yes,No,60
Phone Call,2,31,High,No,Yes,80
Online Assessment,2,58,High,Yes,Yes,62
Online Assessment,1,48,Medium,Yes,Yes,56
Phone Call,1,11,High,Yes,Yes,63
Phone Call,4,54,Low,Yes,No,47
Video Call,3,37,Low,Yes,Yes,35
Online Assessment,5,79,Medium,Yes,Yes,39
In-Person,5,37,High,No,No,80
Phone Call,5,38,Low,No,Yes,45
Video Call,2,86,Low,Yes,No,60
Video Call,1,15,Low,Yes,No,58
Video Call,1,71,Low,Yes,No,64
Phone Call,1,80,Low,Yes,No,64
Video Call,2,23,Medium,Yes,Yes,49
Video Call,2,25,Medium,No,No,84
Video Call,3,55,High,Yes,No,72
Online Assessment,2,22,Medium,Yes,Yes,49
Phone Call,1,34,Medium,No,Yes,75
Video Call,1,45,Medium,No,Yes,76
In-Person,4,68,Low,Yes,Yes,33
Online Assessment,2,90,Medium,No,Yes,75
Online Assessment,3,24,High,No,Yes,74
Video Call,3,45,Low,No,Yes,56
Online Assessment,5,39,Low,No,Yes,45
Video Call,1,51,Low,Yes,No,62
Phone Call,5,52,Medium,No,No,72
Video Call,2,29,Low,Yes,No,54
In-Person,3,57,Low,Yes,No,52
In-Person,2,37,High,Yes,No,75
Phone Call,3,53,Medium,Yes,Yes,47
Phone Call,2,67,Medium,No,Yes,73
Online Assessment,1,74,Low,No,No,84
Online Assessment,1,32,Low,Yes,Yes,45
Online Assessment,4,60,Medium,Yes,Yes,42
Phone Call,5,53,High,No,Yes,67
Online Assessment,2,84,Low,Yes,Yes,45
In-Person,4,79,Medium,Yes,Yes,44
Online Assessment,1,39,Medium,Yes,No,70
In-Person,4,74,Low,Yes,No,49
Video Call,1,18,High,No,Yes,83
In-Person,2,62,Medium,No,Yes,73
In-Person,5,61,High,No,Yes,68
In-Person,5,44,Low,No,No,61
In-Person,3,63,Low,No,No,73
Online Assessment,4,65,Low,No,Yes,53
Video Call,5,66,Low,Yes,No,43
Video Call,5,45,Low,Yes,No,41
In-Person,2,26,High,Yes,No,74
In-Person,5,47,Medium,Yes,No,51
Phone Call,5,71,Low,Yes,No,44
Video Call,1,22,High,Yes,Yes,64
Video Call,3,27,High,No,Yes,74
In-Person,5,52,Low,No,Yes,47
Online Assessment,3,23,Low,Yes,Yes,34
Video Call,3,51,High,No,Yes,77
In-Person,1,89,Medium,No,Yes,80
In-Person,3,61,High,Yes,Yes,58
Video Call,5,74,Medium,No,No,74
Online Assessment,2,57,Low,No,Yes,62
Video Call,5,75,Low,No,No,64
In-Person,2,34,High,No,Yes,80
In-Person,1,30,High,Yes,Yes,64
Phone Call,3,30,Low,Yes,Yes,34
Video Call,2,17,Low,No,Yes,58
Video Call,2,45,Low,No,No,76
Phone Call,4,75,Low,No,No,69
Video Call,1,20,High,Yes,Yes,63
Phone Call,5,70,Low,No,Yes,48
In-Person,2,13,High,No,No,93
In-Person,5,22,Low,No,Yes,44
In-Person,1,29,High,Yes,Yes,64
Video Call,5,37,Medium,Yes,Yes,35
Video Call,3,68,High,No,Yes,78
Online Assessment,4,71,Low,Yes,No,49
In-Person,1,45,Medium,Yes,Yes,56
In-Person,3,54,High,Yes,Yes,57
Phone Call,3,70,Medium,Yes,Yes,48
Video Call,5,78,Medium,No,Yes,59
In-Person,5,75,Medium,No,No,74
Phone Call,5,88,High,No,No,85
Video Call,2,57,Low,No,No,77
In-Person,2,56,High,No,Yes,82
Video Call,4,19,Medium,No,Yes,58
Online Assessment,1,13,Low,Yes,Yes,43
Online Assessment,2,72,High,Yes,No,79
In-Person,1,90,Medium,Yes,No,75
In-Person,2,38,High,Yes,No,75
In-Person,4,64,Medium,No,Yes,63
Online Assessment,1,16,Medium,Yes,Yes,53
Video Call,1,63,Medium,No,Yes,78
Phone Call,4,51,High,Yes,No,67
Video Call,3,62,Low,Yes,Yes,38
In-Person,1,89,High,Yes,Yes,70
In-Person,4,82,Medium,Yes,Yes,45
In-Person,3,16,Low,No,Yes,53
Phone Call,4,84,Medium,No,No,80
In-Person,2,88,High,No,Yes,85
Online Assessment,4,51,Medium,Yes,Yes,42
Phone Call,2,81,High,No,No,100
Online Assessment,5,13,Medium,Yes,No,48
Online Assessment,2,48,Medium,No,Yes,71
Online Assessment,4,24,Low,No,No,64
Online Assessment,1,74,Low,Yes,No,64
Phone Call,3,26,Low,No,No,69
Phone Call,3,21,Low,Yes,Yes,34
In-Person,3,59,Low,Yes,No,52
In-Person,4,48,Medium,No,No,76
Video Call,1,59,Low,No,Yes,67
In-Person,2,25,Low,No,Yes,59
In-Person,3,29,Low,Yes,Yes,34
Phone Call,3,73,Medium,No,Yes,69
Phone Call,4,43,Medium,No,Yes,61
Phone Call,4,51,Medium,Yes,No,57
In-Person,5,80,Medium,No,No,74
Video Call,2,35,High,Yes,No,75
Video Call,4,11,Low,Yes,No,43
Phone Call,1,39,Medium,No,No,90
In-Person,5,83,Medium,Yes,Yes,40
Video Call,3,71,High,No,No,94
In-Person,1,51,Low,No,No,82
Video Call,2,76,Medium,Yes,Yes,54
Video Call,2,46,Medium,No,No,86
Video Call,1,39,Medium,No,No,90
Video Call,1,86,Medium,Yes,No,75
Video Call,5,83,Medium,Yes,Yes,40
In-Person,5,12,Low,No,No,58
Phone Call,2,64,Low,No,Yes,63
Video Call,2,53,Medium,Yes,No,67
Video Call,5,41,Low,No,Yes,46
Phone Call,5,22,High,Yes,No,59
Video Call,1,37,Medium,No,Yes,75
Phone Call,3,32,Medium,No,No,80
Video Call,4,25,High,No,No,84
Video Call,5,87,High,Yes,Yes,50
Phone Call,5,63,Medium,Yes,No,53
In-Person,5,29,Low,Yes,No,39
Online Assessment,3,67,High,No,Yes,78
In-Person,4,64,Medium,Yes,Yes,43
Phone Call,3,42,Low,No,Yes,56
Phone Call,4,80,High,No,Yes,74
Phone Call,1,78,Low,No,No,84
Online Assessment,4,27,High,Yes,Yes,49
In-Person,1,70,Medium,No,No,93
Video Call,3,27,Medium,No,Yes,64
In-Person,5,24,Low,Yes,No,39
Online Assessment,5,74,Low,Yes,Yes,29
Phone Call,3,64,Medium,No,Yes,68
Online Assessment,4,83,Low,Yes,No,50
Online Assessment,2,87,Medium,Yes,Yes,55
Online Assessment,3,10,Low,Yes,Yes,32
In-Person,1,61,Medium,Yes,Yes,58
Online Assessment,5,68,Low,No,Yes,48
Phone Call,4,66,High,Yes,No,68
Phone Call,4,53,High,Yes,Yes,52
Online Assessment,3,69,High,Yes,No,73
Online Assessment,1,72,Medium,Yes,No,74
Online Assessment,2,67,High,Yes,No,78
Phone Call,1,60,Low,No,Yes,67
Video Call,3,86,Low,Yes,No,55
In-Person,4,32,High,Yes,Yes,50
In-Person,1,68,Low,Yes,No,63
Online Assessment,3,30,Low,No,No,69
Video Call,5,77,Low,Yes,No,44
Phone Call,2,30,Low,No,Yes,59
Video Call,1,38,Medium,No,Yes,75
Video Call,2,59,Low,No,No,77
Online Assessment,1,19,Medium,Yes,Yes,53
Online Assessment,1,43,Low,No,Yes,66
Online Assessment,2,34,Medium,No,Yes,70
Phone Call,5,83,Medium,Yes,Yes,40
